Name,ID Enterobase,Country,District,Collection Year,Source Type,Accession number SRA/NCBI,Reference
53/91,YER_CA7722AA_AS,Madagascar,Mahajanga I,1991,Invertebrates,SRR651088 ,1
154/98 B,YER_CA7720AA_AS,Madagascar,Mahajanga Rural,1998,Human,SRR651089,1
IP275,YER_CA7724AA_AS,Madagascar,Haute Matsiatra,1995,Human,SRR9418199,2
MG05-1020,YER_CA7732AA_AS,Madagascar,Ambalavao,2005,Human,GCA_000169635,2
Yp2856,YER_CA9566AA_AS,Madagascar,Fenoarivo-Afovoany,2003,Human,SRR4175416,3
Yp2905,YER_CA9567AA_AS,Madagascar,Fenoarivo-Afovoany,2004,Human,SRR4175417,3
Yp2871,YER_CA9571AA_AS,Madagascar,Fenoarivo-Afovoany,2004,Human,SRR4175421,3
Yp2872,YER_CA9580AA_AS,Madagascar,Fenoarivo-Afovoany,2004,Human,SRR4175430,3
Yp2947,YER_CA9575AA_AS,Madagascar,Fenoarivo-Afovoany,2006,Human,SRR4175425,3
Yp2963,YER_CA9591AA_AS,Madagascar,Fenoarivo-Afovoany,2006,Human,SRR4175441,3
Yp2979,YER_CA9565AA_AS,Madagascar,Fenoarivo-Afovoany,2006,Rodent,SRR4175415,3
Yp2983,YER_CA9572AA_AS,Madagascar,Fenoarivo-Afovoany,2007,Human,SRR4175422,3
Yp3014,YER_CA9577AA_AS,Madagascar,Fenoarivo-Afovoany,2007,Human,SRR4175427,3
Yp2991,YER_CA9581AA_AS,Madagascar,Fenoarivo-Afovoany,2007,Human,SRR4175431,3
Yp3016,YER_CA9587AA_AS,Madagascar,Fenoarivo-Afovoany,2007,Human,SRR4175437,3
Yp3017,YER_CA9594AA_AS,Madagascar,Fenoarivo-Afovoany,2007,Human,SRR4175444,3
Yp3009,YER_CA9564AA_AS,Madagascar,Fenoarivo-Afovoany,2007,Invertebrates,SRR4175414,3
Yp3010,YER_CA9568AA_AS,Madagascar,Fenoarivo-Afovoany,2007,Invertebrates,SRR4175418,3
Yp3026,YER_CA9576AA_AS,Madagascar,Fenoarivo-Afovoany,2008,Human,SRR4175426,3
Yp3034,YER_CA9578AA_AS,Madagascar,Fenoarivo-Afovoany,2008,Human,SRR4175428,3
Yp3023,YER_CA9585AA_AS,Madagascar,Fenoarivo-Afovoany,2008,Human,SRR4175435,3
Yp3019,YER_CA9593AA_AS,Madagascar,Fenoarivo-Afovoany,2008,Human,SRR4175443,3
Yp3048,YER_CA9570AA_AS,Madagascar,Fenoarivo-Afovoany,2009,Human,SRR4175420,3
Yp3041,YER_CA9573AA_AS,Madagascar,Fenoarivo-Afovoany,2009,Human,SRR4175423,3
Yp3044,YER_CA9586AA_AS,Madagascar,Fenoarivo-Afovoany,2009,Human,SRR4175436,3
Yp3045,YER_CA9588AA_AS,Madagascar,Fenoarivo-Afovoany,2009,Human,SRR4175438,3
Yp3042,YER_CA9589AA_AS,Madagascar,Fenoarivo-Afovoany,2009,Human,SRR4175439,3
Yp3043,YER_CA9592AA_AS,Madagascar,Fenoarivo-Afovoany,2009,Human,SRR4175442,3
Yp3050,YER_CA9582AA_AS,Madagascar,Fenoarivo-Afovoany,2010,Human,SRR4175432,3
Yp3069,YER_CA9569AA_AS,Madagascar,Fenoarivo-Afovoany,2011,Human,SRR4175419,3
Yp3059,YER_CA9583AA_AS,Madagascar,Fenoarivo-Afovoany,2011,Human,SRR4175433,3
Yp3078,YER_CA9590AA_AS,Madagascar,Fenoarivo-Afovoany,2011,Human,SRR4175440,3
Yp3079,YER_CA9579AA_AS,Madagascar,Fenoarivo-Afovoany,2012,Human,SRR4175429,3
Yp3083,YER_CA9584AA_AS,Madagascar,Fenoarivo-Afovoany,2012,Human,SRR4175434,3
IP579,YER_CA8868AA_AS,India,,1908,,ERS12472804,
IP529,YER_CA8530AA_AS,Madagascar,Mahabo,1951,,ERS12473248 ,
IP674,YER_CA8856AA_AS,Turkey,,1952,Human,ERS12472306,
IP505,YER_CA8831AA_AS,Turkey,,1952,,ERS12472298,
IP521,YER_CA8826AA_AS,Turkey,,1952,,ERS12472316,
IP656,YER_CA8539AA_AS,Madagascar,Ambositra,1964,Human,ERS12473264,
IP304,YER_CA8531AA_AS,Madagascar,Fandriana,1969,Human,ERS12473250,
IP1918,YER_CA8834AA_AS,India,,1969,,ERS12472609,
IP630,YER_CA6766AA_AS,Madagascar,Ambositra,1974,Human,SRR21998488,
IP1289,YER_CA8550AA_AS,Madagascar,Antanifotsy,1977,Human,ERS12473249,
IP600,YER_CA8534AA_AS,Madagascar,Ambositra,1982,Human,ERS12473251,
IP658,YER_CA8549AA_AS,Madagascar,Ambositra,1983,Human,ERS12472314,
IP643,YER_CA8533AA_AS,Madagascar,Ambositra,1983,Human,ERS12473252,
IP657,YER_CA8558AA_AS,Madagascar,Ambositra,1983,Human,ERS12473253,
